縣市,行政區,投票率,同意率（基於投票人數）,不同意率（基於投票人數）
臺北市,松山區,32.1,76.6,22.9
臺北市,信義區,30.3,78.5,20.9
臺北市,大安區,31.3,77.4,22.0
臺北市,中山區,29.4,73.3,26.1
臺北市,中正區,30.5,76.1,23.1
臺北市,文山區,32.5,80.9,18.5
臺北市,南港區,29.0,77.4,22.1
臺北市,內湖區,30.4,78.0,21.4
新北市,板橋區,29.1,72.4,26.9
新北市,中和區,32.8,78.8,20.5
新北市,永和區,32.9,80.6,18.8
新北市,淡水區,27.0,77.9,21.6
新北市,汐止區,28.4,78.6,20.8
新北市,瑞芳區,23.2,78.0,20.9
新北市,泰山區,26.9,75.3,24.1
新北市,林口區,25.9,78.7,20.8
新北市,三芝區,24.0,78.2,21.1
新北市,石門區,20.6,79.3,20.2
新北市,八里區,24.2,76.3,23.2
新北市,平溪區,21.0,74.0,25.2
新北市,雙溪區,21.1,73.2,26.0
新北市,貢寮區,15.9,55.0,44.0
新北市,金山區,21.4,74.9,24.3
新北市,萬里區,19.5,76.8,22.5
桃園市,桃園區,26.5,79.3,20.1
桃園市,中壢區,28.7,82.6,16.7
桃園市,大溪區,25.5,76.2,22.8
桃園市,楊梅區,27.6,84.3,15.0
桃園市,蘆竹區,25.4,77.6,21.7
桃園市,大園區,22.7,78.0,21.3
桃園市,龜山區,26.7,78.3,20.9
桃園市,八德區,27.4,80.3,18.8
桃園市,龍潭區,29.3,83.9,15.2
桃園市,平鎮區,29.0,82.1,17.1
桃園市,新屋區,25.3,80.5,18.8
桃園市,觀音區,21.5,78.0,21.1
桃園市,復興區,19.4,86.7,11.6
臺中市,中區,27.3,71.6,26.8
臺中市,東區,30.7,75.6,23.6
臺中市,南區,30.8,77.1,22.2
臺中市,西區,30.8,74.6,24.6
臺中市,北區,31.4,76.9,22.3
臺中市,西屯區,29.5,79.6,19.8
臺中市,南屯區,29.9,78.2,21.1
臺中市,北屯區,29.8,79.4,19.9
雲林縣,虎尾鎮,25.1,80.4,19.0
雲林縣,土庫鎮,21.0,77.3,22.2
雲林縣,北港鎮,23.6,70.3,28.9
雲林縣,麥寮鄉,17.7,84.1,15.2
雲林縣,東勢鄉,18.6,80.5,18.6
雲林縣,褒忠鄉,21.2,78.5,20.6
雲林縣,臺西鄉,19.2,83.4,15.8
雲林縣,元長鄉,18.2,76.7,22.4
雲林縣,四湖鄉,16.6,78.9,20.3
雲林縣,口湖鄉,17.7,73.2,25.5
雲林縣,水林鄉,16.9,67.3,32.0
花蓮縣,花蓮市,28.2,84.8,14.4
花蓮縣,鳳林鎮,30.5,86.0,12.6
花蓮縣,玉里鎮,24.2,85.3,13.4
花蓮縣,新城鄉,26.9,85.4,13.6
花蓮縣,吉安鄉,28.4,85.5,13.6
花蓮縣,壽豐鄉,27.6,82.9,15.9
花蓮縣,光復鄉,26.4,84.6,13.0
花蓮縣,豐濱鄉,24.4,84.1,13.5
花蓮縣,瑞穗鄉,25.0,86.7,12.0
花蓮縣,富里鄉,23.1,86.7,11.4
花蓮縣,秀林鄉,23.7,88.2,10.5
花蓮縣,萬榮鄉,24.7,87.4,10.0
花蓮縣,卓溪鄉,25.8,91.5,6.9
臺東縣,臺東市,27.0,82.8,16.6
臺東縣,成功鎮,23.5,84.8,13.9
臺東縣,關山鎮,21.9,84.5,14.5
臺東縣,卑南鄉,25.5,83.6,15.4
臺東縣,鹿野鄉,22.3,79.2,20.0
臺東縣,池上鄉,22.5,79.6,19.0
臺東縣,東河鄉,23.5,82.1,16.1
臺東縣,長濱鄉,25.9,83.5,14.4
臺東縣,太麻里鄉,23.2,82.9,15.9
臺東縣,大武鄉,25.1,84.8,14.3
臺東縣,綠島鄉,15.6,86.3,12.7
臺東縣,海端鄉,23.2,90.8,7.4
臺東縣,延平鄉,25.4,88.3,10.0
臺東縣,金峰鄉,30.5,90.2,7.9
臺東縣,達仁鄉,31.7,89.6,9.0
臺東縣,蘭嶼鄉,12.1,64.3,33.8
基隆市,中正區,26.2,78.4,20.7
基隆市,七堵區,26.9,78.1,21.2
基隆市,暖暖區,28.0,81.2,18.2
基隆市,仁愛區,27.7,75.7,23.3
基隆市,中山區,27.2,79.3,19.9
基隆市,安樂區,29.2,79.4,19.9
基隆市,信義區,30.1,81.4,17.9
新竹市,東區,31.4,81.3,18.1
新竹市,北區,29.6,79.5,19.6
新竹市,香山區,27.6,79.3,20.0
